Tool_Life_Bin,Coolant_Stability_Bin,Machine_ID,Fixture_ID,Shift,Total_Count,Actual_Edge_Chipping_Rate,Mean_Predicted_Risk,NG_Rate
Critical_90_100,Unstable,All,All,All,382,61.52,51.6,62.04
High_75_90,Unstable,CNC-04,All,All,333,39.04,35.17,39.64
Critical_90_100,Watch,CNC-04,All,All,101,36.63,34.2,37.62
High_75_90,Unstable,CNC-06,All,All,284,36.62,31.37,37.32
High_75_90,Unstable,All,All,All,1708,33.9,30.78,34.72
High_75_90,Unstable,CNC-03,All,All,288,29.51,30.64,30.56
Critical_90_100,Watch,CNC-06,All,All,106,33.02,30.0,33.96
High_75_90,Unstable,CNC-01,All,All,266,34.21,29.48,34.96
High_75_90,Unstable,CNC-02,All,All,275,32.36,28.68,33.09
High_75_90,Unstable,CNC-05,All,All,262,30.53,28.25,31.68
Critical_90_100,Stable,CNC-04,All,All,150,33.33,27.63,34.67
Critical_90_100,Watch,All,All,All,604,30.3,27.56,31.46
Critical_90_100,Watch,CNC-02,All,All,105,31.43,26.56,31.43
Critical_90_100,Watch,CNC-05,All,All,109,26.61,23.15,27.52
Critical_90_100,Stable,CNC-06,All,All,171,23.39,20.54,23.98
Critical_90_100,Stable,All,All,All,1002,20.96,18.91,21.46
Critical_90_100,Stable,CNC-01,All,All,157,22.29,18.44,22.29
Critical_90_100,Stable,CNC-02,All,All,172,18.6,16.96,18.6
Critical_90_100,Stable,CNC-03,All,All,175,17.14,16.75,17.71
Critical_90_100,Stable,CNC-05,All,All,177,12.99,14.37,13.56
High_75_90,Watch,CNC-04,All,All,404,11.39,11.19,12.13
High_75_90,Watch,CNC-06,All,All,434,11.75,10.55,12.67
High_75_90,Watch,All,All,All,2589,6.3,6.86,6.91
High_75_90,Stable,CNC-04,All,All,624,7.21,6.85,7.85
High_75_90,Watch,CNC-03,All,All,435,4.6,5.71,5.06
High_75_90,Stable,CNC-06,FIX-C1,All,102,4.9,5.48,4.9
High_75_90,Stable,CNC-06,All,All,718,4.87,5.16,5.57
High_75_90,Watch,CNC-02,All,All,429,3.5,4.99,4.2
High_75_90,Watch,CNC-05,All,All,461,4.34,4.98,4.99
High_75_90,Watch,CNC-01,All,All,426,2.58,4.08,2.82
High_75_90,Stable,All,All,All,4179,3.61,3.94,4.36
High_75_90,Stable,CNC-05,All,All,730,3.42,3.55,4.79
High_75_90,Stable,CNC-03,All,All,682,2.2,3.06,2.64
High_75_90,Stable,CNC-02,All,All,690,2.17,2.68,2.9
High_75_90,Stable,CNC-01,All,All,735,2.18,2.67,2.72
Mid_50_75,Watch,CNC-04,FIX-C1,All,102,1.96,1.76,1.96
Mid_50_75,Watch,CNC-06,FIX-B2,All,116,1.72,1.43,1.72
Low_0_50,Stable,CNC-04,FIX-C1,All,183,2.19,1.35,3.28
Mid_50_75,Stable,CNC-06,FIX-B2,All,208,0.96,1.04,0.96
Mid_50_75,Unstable,CNC-04,FIX-C2,All,102,0.98,0.97,1.96
Mid_50_75,Unstable,CNC-04,All,All,736,0.68,0.96,1.63
Mid_50_75,Stable,CNC-06,FIX-C1,All,191,1.57,0.9,2.62
Mid_50_75,Watch,CNC-04,FIX-A1,All,101,0.99,0.88,1.98
Mid_50_75,Stable,CNC-06,FIX-C1,Day,108,1.85,0.82,3.7
Low_0_50,Watch,CNC-04,FIX-A3,All,101,0.99,0.79,0.99
Mid_50_75,Watch,CNC-06,FIX-B3,All,107,0.93,0.7,1.87
Mid_50_75,Watch,CNC-06,FIX-C2,All,119,0.84,0.67,2.52
Low_0_50,Stable,CNC-04,FIX-B2,All,171,0.58,0.53,1.75
Low_0_50,Stable,CNC-06,FIX-B2,All,197,0.51,0.49,1.02
Mid_50_75,Stable,CNC-06,FIX-A1,All,180,0.56,0.49,2.22
Mid_50_75,Unstable,CNC-06,All,All,612,0.49,0.46,0.82
Mid_50_75,Watch,CNC-04,All,All,909,0.44,0.44,1.32
Mid_50_75,Unstable,All,All,All,3931,0.2,0.43,0.84
Mid_50_75,Watch,CNC-06,All,All,982,0.51,0.42,1.22
Low_0_50,Unstable,CNC-06,All,All,632,0.63,0.4,1.58
Mid_50_75,Stable,CNC-06,All,All,1712,0.41,0.35,1.05
Mid_50_75,Unstable,CNC-01,All,All,650,0.0,0.32,0.77
Mid_50_75,Unstable,CNC-03,All,All,610,0.0,0.29,0.33
Mid_50_75,Stable,CNC-04,FIX-C1,All,170,0.0,0.29,1.18
Low_0_50,Watch,CNC-06,FIX-B2,All,103,0.0,0.28,0.97
Low_0_50,Stable,CNC-04,All,All,1663,0.3,0.27,1.08
Mid_50_75,Watch,CNC-06,FIX-C1,All,118,0.85,0.27,0.85
Mid_50_75,Unstable,CNC-05,All,All,664,0.0,0.27,0.9
Mid_50_75,Watch,CNC-03,FIX-B2,All,115,0.0,0.26,0.87
Low_0_50,Unstable,CNC-01,All,All,649,0.15,0.26,1.23
Mid_50_75,Stable,CNC-06,FIX-B2,Day,100,0.0,0.26,0.0
Mid_50_75,Unstable,CNC-02,All,All,659,0.0,0.25,0.46
Mid_50_75,Watch,CNC-04,FIX-A2,All,103,0.0,0.25,1.94
Mid_50_75,Watch,CNC-04,FIX-C2,All,101,0.0,0.24,1.98
Low_0_50,Unstable,CNC-04,All,All,740,0.14,0.23,0.81
Low_0_50,Unstable,All,All,All,4032,0.15,0.22,1.02
Mid_50_75,Watch,All,All,All,5849,0.15,0.21,0.99
Low_0_50,Watch,CNC-04,All,All,951,0.11,0.2,0.53
Low_0_50,Watch,CNC-04,FIX-B2,All,102,0.0,0.18,0.0
Mid_50_75,Stable,CNC-04,FIX-B2,All,184,0.0,0.18,1.09
Mid_50_75,Watch,CNC-05,FIX-C1,All,124,0.0,0.17,0.0
Low_0_50,Unstable,CNC-05,All,All,673,0.0,0.16,0.74
Low_0_50,Unstable,CNC-02,All,All,685,0.0,0.16,1.17
Mid_50_75,Watch,CNC-01,FIX-B2,All,104,0.0,0.16,0.0
Mid_50_75,Watch,CNC-05,FIX-B2,All,129,0.0,0.16,0.78
Mid_50_75,Watch,CNC-04,FIX-B3,All,105,0.95,0.16,0.95
Mid_50_75,Stable,CNC-04,All,All,1537,0.0,0.15,0.72
Mid_50_75,Stable,CNC-04,FIX-A3,All,140,0.0,0.15,0.0
Mid_50_75,Stable,CNC-01,FIX-B2,All,174,0.0,0.15,0.0
Mid_50_75,Watch,CNC-04,FIX-C3,All,102,0.0,0.15,1.96
Mid_50_75,Stable,CNC-04,FIX-C3,All,176,0.0,0.14,0.0
Mid_50_75,Stable,CNC-05,FIX-B2,All,203,0.0,0.14,0.49
Low_0_50,Watch,CNC-06,FIX-C2,All,106,0.0,0.14,0.94
Mid_50_75,Watch,CNC-06,FIX-A3,All,108,0.0,0.14,0.0
Mid_50_75,Watch,CNC-06,FIX-A2,All,109,0.0,0.14,0.0
Low_0_50,Unstable,CNC-03,All,All,653,0.0,0.14,0.61
Mid_50_75,Stable,CNC-04,FIX-B3,All,194,0.0,0.13,0.52
Mid_50_75,Watch,CNC-06,FIX-A1,All,113,0.0,0.13,2.65
Low_0_50,Watch,CNC-04,FIX-C2,All,120,0.0,0.13,0.83
Mid_50_75,Watch,CNC-06,FIX-C3,All,106,0.0,0.13,0.94
Mid_50_75,Watch,CNC-01,FIX-C1,All,106,0.0,0.13,2.83
Low_0_50,Watch,CNC-01,FIX-B2,All,116,0.0,0.13,0.86
Mid_50_75,Stable,All,All,All,9810,0.08,0.13,0.65
Low_0_50,Stable,CNC-06,FIX-C1,All,193,0.0,0.13,0.52
Mid_50_75,Stable,CNC-04,FIX-B1,All,153,0.0,0.13,0.0
Mid_50_75,Watch,CNC-03,FIX-C2,All,111,0.0,0.13,0.9
Mid_50_75,Stable,CNC-04,FIX-C2,All,191,0.0,0.13,2.09
Low_0_50,Watch,CNC-05,FIX-B2,All,117,0.0,0.13,0.85
Low_0_50,Watch,CNC-06,FIX-C1,All,122,0.82,0.12,1.64
Mid_50_75,Watch,CNC-02,FIX-C1,All,125,0.0,0.12,0.0
Low_0_50,Watch,CNC-03,FIX-B2,All,102,0.0,0.12,0.0
Mid_50_75,Stable,CNC-06,FIX-B3,All,207,0.0,0.12,0.0
Low_0_50,Watch,CNC-04,FIX-A1,All,107,0.0,0.12,0.0
Low_0_50,Stable,CNC-04,FIX-B3,Day,106,0.0,0.12,0.94
Mid_50_75,Watch,CNC-03,FIX-C1,All,128,0.0,0.12,1.56
Mid_50_75,Watch,CNC-01,FIX-A1,All,117,0.0,0.12,0.85
